France,Germany,Italy
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,1
1,2,1
1,2,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,3
0,0,9
0,0,22
0,0,33
1,0,46
1,1,65
4,2,94
7,6,124
13,8,153
17,15,220
26,20,259
29,25,312
39,32,377
56,47,458
80,69,536
122,89,680
143,105,812
175,138,1020
225,159,1093
287,190,1339
267,289,1608
438,362,1861
507,445,2182
487,571,2482
753,700,2687
847,838,3051
976,948,3322
1239,1233,3704
1296,1557,4195
1422,1839,4632
1745,1968,4913
1917,2380,5136
2090,2898,5382
2311,3337,5525
2607,3645,5651
2894,4048,5640
3315,4560,5557
3359,4849,5508
3500,4947,5402
4271,4926,5231
4540,5116,5170
4281,5288,4951
4485,5344,4762
0,5314,4595
3570,5596,4466
3330,5442,4402
0,5331,4257
0,5124,4122
0,4955,4055
0,4833,3965
2022,4555,3949
9150,4110,3917
9219,3947,3853
11712,3697,3844
11620,3480,3677
12876,3179,3617
12922,2901,3551
13259,2826,3380
6166,2774,3230
6067,2666,3102
3956,2623,3067
3754,2588,3168
0,2514,3005
2089,2365,2938
1785,2143,2776
1719,2040,2672
1896,1932,2598
1963,1840,2507
0,1707,2324
1880,1582,2213
1554,1483,2062
1427,1324,1997
1388,1189,1864
942,1141,1790
654,1075,1644
1245,1024,1553
1177,996,1485
1177,935,1394
1140,979,1278
1124,961,1194
1088,915,1126
1037,950,1172
520,929,1093
506,879,1034
503,836,958
487,746,928
472,734,910
490,732,868
454,672,784
448,672,752
395,645,702
430,580,682
448,583,653
0,561,632
411,554,611
376,542,551
332,480,540
771,424,533
748,464,513
927,478,477
960,458,449
971,464,435
0,433,423
0,430,386
0,436,326
0,402,327
0,355,306
0,357,286
0,340,298
955,360,293
1044,356,276
473,379,305
505,344,254
494,335,265
501,328,285
481,324,288
497,328,277
478,332,295
509,336,289
507,409,0
525,445,254
518,508,237
519,557,226
524,575,212
492,610,248
445,617,243
513,575,279
489,587,266
